E;dN_dE
1.0;2.3166736812810944
1.1369369369369338;1.7508270317357268
1.293693693693692;1.5459277364194801
1.4276276276276239;1.4526539259467812
1.6060060060060035;1.3650078065460152
1.7846846846846809;1.2433534237775994
1.9192192192192152;1.0978437670592496
2.053453453453452;1.000000000000001
2.187687687687685;0.9108764197647733
2.299999999999999;0.8042765483057637
2.4342342342342302;0.7325965428215238
2.590690690690689;0.6673049160573193
2.7696696696696677;0.5892102187612301
2.8816816816816786;0.5366976945540481
3.038438438438437;0.47388796097176605
3.172972972972971;0.41842885079015846
3.307207207207206;0.3811369735340285
3.4195195195195183;0.33653251182505606
3.554054054054051;0.29714811046840095
3.688588588588587;0.26237286577779906
3.845645645645643;0.2245697995539774
4.002402402402401;0.19828839491270733
4.137237237237235;0.1697187129752139
4.272372372372368;0.14081491217648334
4.429129129129125;0.12433534237776006
4.519819819819817;0.10316051783820808
4.654354354354355;0.09108764197647742
4.789189189189189;0.07796360130405244
4.946246246246245;0.066730491605732
5.103303303303301;0.05711586478126441
5.282882882882882;0.04738879609717656
5.439939939939938;0.040560949048976454
5.574774774774776;0.03471686818926563
5.731831831831828;0.029714811046840095
5.866966966966965;0.024654255471007937
6.001801801801802;0.021102034285685987
6.092192192192192;0.018061622323899035
6.2048048048048035;0.015459277364194801
6.317117117117119;0.013650078065460152
6.452252252252249;0.011325413151528138
6.587087087087083;0.009693631061142531
6.722222222222223;0.008042765483057636
6.834834834834831;0.006883952069645503
6.970270270270271;0.005536601209276786
7.083183183183182;0.0045936950579774025
7.151951951951952;0.0036946012051993064
7.264564564564564;0.0031622776601683824
7.310510510510509;0.002706652070033244
