E;dN_dE
1.0;2.3166736812810944
1.2027027027027;1.9221345439899127
1.336936936936933;1.7508270317357268
1.4933933933933918;1.5947870582948225
1.6492492492492445;1.5459277364194801
1.8057057057057033;1.4081491217648348
1.9177177177177143;1.2826498305280625
2.0963963963963916;1.1683354854432937
2.253453453453451;1.000000000000001
2.4102102102102094;0.8829699955494101
2.566666666666663;0.8042765483057637
2.72312312312312;0.7325965428215238
2.8573573573573565;0.6673049160573193
2.991591591591588;0.6078323128297243
3.1258258258258227;0.5536601209276804
3.2600600600600576;0.5043159487171364
3.3723723723723698;0.445295850994266
3.484084084084081;0.41842885079015846
3.5957957957957944;0.3931828755705774
3.708108108108105;0.3471686818926563
3.8423423423423397;0.3162277660168383
3.9543543543543525;0.2880444153396301
4.088888888888887;0.25433457613046506
4.245945945945943;0.21768967843509854
4.3579579579579555;0.19828839491270733
4.470270270270268;0.17508270317357288
4.604804804804802;0.1545927736419477
4.717417417417414;0.13231882072236448
4.896096096096096;0.12052609368708427
5.030630630630627;0.10642092440647258
5.165465465465465;0.09108764197647742
5.299999999999999;0.08042765483057637
5.412012012012008;0.07325965428215238
5.524024024024021;0.066730491605732
5.659159159159158;0.05536601209276798
5.815915915915911;0.04888652745113992
5.928828828828829;0.040560949048976454
6.063663663663663;0.03471686818926563
6.153753753753753;0.030653952950565267
6.28858858858859;0.026237286577779906
6.401201201201198;0.02245697995539774
6.536036036036036;0.019221345439899108
6.6708708708708695;0.016451905877536626
6.783483483483481;0.014081491217648333
6.896096096096096;0.012052609368708425
7.0087087087087045;0.010316051783820808
7.0768768768768755;0.008829699955494092
7.167267267267265;0.007557503872394929
7.257657657657655;0.006468607661546314
7.303903903903903;0.005366976945540482
7.416516516516518;0.0045936950579774025
7.507507507507507;0.0036946012051993064
7.620420420420421;0.003065395295056527
